extractor ,key_points       ,feature_extract_time (e-04) ,extract_mean_time (e-06) ,matcher ,matches ,feature_match_time (e-04) ,match_mean_time (e-06) ,rmse_homography ,images                                                             ,error
surf      ,"[1420, 1038]"   ,"[17456.0, 15638.0]"        ,"[1229.0, 1507.0]"       ,bf      ,    540 ,                   1291.0 ,                 239.0 ,         151.4  ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False

brisk     ,"[2151, 4906]"   ,"[3869.0, 7933.0]"          ,"[180.0, 162.0]"         ,knn     ,    592 ,                   7563.0 ,                1278.0 ,         113.72 ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False
brisk     ,"[2151, 4906]"   ,"[3925.0, 7962.0]"          ,"[182.0, 162.0]"         ,bf      ,   1213 ,                  14586.0 ,                1203.0 ,         301.2  ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False
orb       ,"[3914, 4397]"   ,"[2244.0, 2801.0]"          ,"[57.0, 64.0]"           ,knn     ,    572 ,                  10122.0 ,                1770.0 ,         113.85 ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False
orb       ,"[3914, 4397]"   ,"[2211.0, 2782.0]"          ,"[56.0, 63.0]"           ,bf      ,   1424 ,                  20455.0 ,                1436.0 ,         344.67 ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False
sift      ,"[1661, 3386]"   ,"[31302.0, 21927.0]"        ,"[1885.0, 648.0]"        ,knn     ,    439 ,                   6490.0 ,                1478.0 ,         165.35 ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False
sift      ,"[1661, 3386]"   ,"[31660.0, 49321.0]"        ,"[1906.0, 1457.0]"       ,bf      ,    804 ,                  21814.0 ,                2713.0 ,         300.98 ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False
surf      ,"[3651, 4241]"   ,"[73207.0, 45929.0]"        ,"[2005.0, 1083.0]"       ,knn     ,    750 ,                  22899.0 ,                3053.0 ,         131.05 ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False
surf      ,"[3651, 4241]"   ,"[74969.0, 64744.0]"        ,"[2053.0, 1527.0]"       ,bf      ,   1295 ,                  18212.0 ,                1406.0 ,         268.12 ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False
vem
brisk     ,"[7030, 6018]"   ,"[12637.0, 11072.0]"        ,"[180.0, 184.0]"         ,knn     ,   1120 ,                  74645.0 ,                6665.0 ,         114.71 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False
brisk     ,"[7030, 6018]"   ,"[13210.0, 11363.0]"        ,"[188.0, 189.0]"         ,bf      ,   2415 ,                  90393.0 ,                3743.0 ,         213.02 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False
orb       ,"[4905, 4872]"   ,"[4210.0, 4088.0]"          ,"[86.0, 84.0]"           ,knn     ,    893 ,                  31148.0 ,                3488.0 ,         115.01 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False
orb       ,"[4905, 4872]"   ,"[3816.0, 3657.0]"          ,"[78.0, 75.0]"           ,bf      ,   1787 ,                  32401.0 ,                1813.0 ,         194.58 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False
sift      ,"[5793, 5918]"   ,"[40751.0, 32966.0]"        ,"[703.0, 557.0]"         ,knn     ,   1218 ,                  64020.0 ,                5256.0 ,         125.22 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False
sift      ,"[5793, 5918]"   ,"[45577.0, 34422.0]"        ,"[787.0, 582.0]"         ,bf      ,   2409 ,                  83111.0 ,                3450.0 ,         228.44 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False
surf      ,"[7750, 7343]"   ,"[49545.0, 53525.0]"        ,"[639.0, 729.0]"         ,knn     ,    632 ,                  26120.0 ,                4133.0 ,         128.97 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False
